bundle,type_token,role,columns_range,conditional_range,status,notes
MapRecordPipe,map_record,theme,ColumnMapping,MapRecordPipe,reviewed,
PartitionWriterPipe,partition_writer,theme,ColumnMapping,PartitionWriterPipe,reviewed,
AggregatePipe,aggregate,theme,ColumnAggregation,AggregatePipe,reviewed,
AnalyzePipe,analyze,theme,ColumnMapping,AnalyzePipe,reviewed,
AnonymizePipe,anonymize,theme,ColumnMapping,AnonymizePipe,reviewed,
HighFreqPipe,high_freq,theme,ColumnAggregation,HighFreqPipe,reviewed,
ClusteringPipe,clustering,theme,-,ClusteringPipe,reviewed,"columns is not applicable to this operator per fields.csv; was ColumnAggregation. Set 2026-08-20 - the range still reached the column bundle through TransformationSpecOverride.columns, costing ~4,000 tokens."
FilterPipe,filter,theme,ColumnMapping,FilterPipe,reviewed,
DistinctPipe,distinct,theme,-,DistinctPipe,reviewed,"columns is not applicable to this operator per fields.csv; was ColumnMapping. Set 2026-08-20 - the range still reached the column bundle through TransformationSpecOverride.columns, costing ~4,000 tokens."
ShufflingPipe,shuffling,theme,-,ShufflingPipe,reviewed,"columns is not applicable to this operator per fields.csv; was ColumnMapping. Set 2026-08-20 - the range still reached the column bundle through TransformationSpecOverride.columns, costing ~4,000 tokens."
GroupByPipe,group_by,theme,-,GroupByPipe,reviewed,"columns is not applicable to this operator per fields.csv; was ColumnMapping. Set 2026-08-20 - the range still reached the column bundle through TransformationSpecOverride.columns, costing ~4,000 tokens."
SortPipe,sort,theme,-,SortPipe,reviewed,"columns is not applicable to this operator per fields.csv; was ColumnMapping. Set 2026-08-20 - the range still reached the column bundle through TransformationSpecOverride.columns, costing ~4,000 tokens."
MergePipe,merge,theme,-,MergePipe,reviewed,"columns is not applicable to this operator per fields.csv; was ColumnMapping. Set 2026-08-20 - the range still reached the column bundle through TransformationSpecOverride.columns, costing ~4,000 tokens."
JetrulesPipe,jetrules,theme,ColumnMapping,JetrulesPipe,reviewed,
OllamaPipe,ollama,theme,ColumnMapping,OllamaPipe,reviewed,
ColumnMapping,select,theme,-,-,reviewed,
ColumnMapping,value,theme,-,-,reviewed,
ColumnMapping,eval,theme,-,-,reviewed,
ColumnMapping,case,theme,then=ColumnMapping;else_expr=ColumnMapping,-,reviewed,
ColumnMapping,map,theme,-,-,reviewed,
ColumnMapping,hash,theme,-,-,reviewed,
ColumnMapping,lookup,theme,-,-,reviewed,
ColumnMapping,multi_select,theme,-,-,reviewed,
ColumnAggregation,select,theme,-,-,reviewed,
ColumnAggregation,value,theme,-,-,reviewed,
ColumnAggregation,eval,theme,-,-,reviewed,
ColumnAggregation,case,theme,then=ColumnAggregation;else_expr=ColumnAggregation,-,reviewed,
ColumnAggregation,count,theme,-,-,reviewed,
ColumnAggregation,distinct_count,theme,-,-,reviewed,
ColumnAggregation,sum,theme,-,-,reviewed,
ColumnAggregation,min,theme,-,-,reviewed,
ColumnAggregation,max,theme,-,-,reviewed,
ColumnAggregation,avrg,theme,-,-,reviewed,
ColumnAggregation,map_reduce,theme,apply_map=ColumnMapPhase;apply_reduce=ColumnReducePhase,-,reviewed,"Phases split 2026-08-20. The corpus ranges differ sharply: apply_map holds distinct_count/sum/count, apply_reduce holds count and nothing else across 12 instances."
ColumnMapPhase,count,theme,-,-,reviewed,corpus-attested in apply_map
ColumnMapPhase,distinct_count,theme,-,-,reviewed,corpus-attested in apply_map
ColumnMapPhase,sum,theme,-,-,reviewed,corpus-attested in apply_map
ColumnMapPhase,min,theme,-,-,reviewed,proposed on semantics; no live instance in a map phase
ColumnMapPhase,max,theme,-,-,reviewed,proposed on semantics; no live instance in a map phase
ColumnMapPhase,avrg,theme,-,-,reviewed,proposed on semantics; no live instance in a map phase
ColumnReducePhase,count,theme,-,-,reviewed,corpus-attested in apply_reduce (12 instances)
ColumnReducePhase,sum,theme,-,-,reviewed,proposed on semantics; combines partials correctly
ColumnReducePhase,min,theme,-,-,reviewed,proposed on semantics; combines partials correctly
ColumnReducePhase,max,theme,-,-,reviewed,proposed on semantics; combines partials correctly
InferPipe,infer,theme,ColumnMapping,InferPipe,unreviewed,"Added 2026-09-05 with the infer token. Its own bundle rather than a member of OllamaPipe, because a bundle names exactly one TransformationSpec operator. vllm and embed had no member row here until 2026-09-10, when VllmPipe and EmbedPipe were added below (I-512)."
VllmPipe,vllm,theme,ColumnMapping,VllmPipe,unreviewed,"Its own bundle rather than a member of InferPipe or OllamaPipe, because a bundle names exactly one TransformationSpec operator. columns_range and conditional_range follow OllamaPipe: fields.csv makes columns applicable to vllm, and narrowing conditional_config to this bundle is what keeps the union from re-inflating. That the override may then only replace a vllm step is I-511 and is not decided here."
EmbedPipe,embed,theme,ColumnMapping,EmbedPipe,unreviewed,"Same shape as OllamaPipe and VllmPipe. The four live instances carry no columns and no conditional_config, so both ranges are authored from fields.csv's applicability rather than from the corpus."
